Name,Price,Rating,Proccesor,Core,Thread,RAM(GB),Storage,Graphic_card,Display,Pixel,OS
HP Victus 15-fb3012AX Gaming Laptop,66240,72.0,8th Gen AMD Ryzen 5 8645HS,Hexa Core,12,16,512GB,6GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 16-r1705TX Gaming Laptop,66240,72.0,14th Gen Intel Core i5 14450HX,10 Cores (6P + 4E),16,16,512GB,6GB NVIDIA GeForce RTX 3050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP 245 G10 Laptop,66240,55.0,7th Gen AMD Ryzen 5 7520U,Quad Core,8,8 ,512GB,AMD Radeon Graphics,14 inches, 1366 x 768 pixels,Windows 11 OS
HP 15-fr0028TU Laptop,66240,53.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,16,512GB,Intel Integrated Integrated,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb3004AX Gaming Laptop,66240,70.0,8th Gen AMD Ryzen 5 8645HS,Hexa Core,12,16,512GB,4GB NVIDIA GeForce RTX 2050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa2191TX Gaming Laptop,66240,63.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,16,512GB,4GB NVIDIA GeForce RTX 3050A,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fd0569TU Laptop,66240,55.0,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-wf1096TX Gaming Laptop,66240,79.0,14th Gen Intel Core i7 14650HX,16 Cores (8P + 8E),24,16,1TB,8GB NVIDIA GeForce RTX 4060,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb3025AX Gaming Laptop,66240,77.0,8th Gen AMD Ryzen 9 8945HS,Octa Core,16,16,1TB,8GB NVIDIA GeForce RTX 4060,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb3125AX Gaming Laptop,66240,56.0,7th Gen AMD Ryzen 7 7445H,Hexa Core,12,16,512GB,NVIDIA GeForce RTX 4050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion Plus ‎16-ab0015TX Laptop,66240,69.0,13th Gen Intel Core i5 13500H,12 Cores (4P + 8E),16,16,512GB,6GB NVIDIA GeForce RTX 3050,16 inches, 2560 x 1600 pixels,Windows 11 OS
HP Omen 16-xf0060AX Gaming Laptop,66240,78.0,7th Gen AMD Ryzen 7 7840HS,Octa Core,16,16,1TB,8GB NVIDIA GeForce RTX 4060,16 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb3118AX Gaming Laptop,66240,64.0,7th Gen AMD Ryzen 7 7445H,Octa Core,16,16,512GB,6GB NVIDIA GeForce RTX 4050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP ‎15-fd0467TU Laptop,66240,57.0,13th Gen Intel Core i5 1334U,10 Cores (2P + 8E),12,16,512GB,‎Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fc1004AU Laptop,66240,61.0,7th Gen AMD Ryzen 5 7535HS,Hexa Core,12,8 ,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-xd0015AX Gaming Laptop,66240,75.0,7th Gen AMD Ryzen 7 7840HS,Octa Core,16,16,1TB,6GB NVIDIA GeForce RTX 4050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-ae0002TX Gaming Laptop,66240,75.0,14th Gen Intel Core i7 14650HX,16 Cores (8P + 8E),24,16,1TB,8GB NVIDIA GeForce RTX 4060,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-am0241TX Gaming Laptop,66240,78.0,14th Gen Intel Core i7 14650HX,16 Cores (8P + 8E),24,24,1TB,8GB NVIDIA GeForce RTX 5050,16 inches, 1920 x 1200 pixels,Windows 11 OS
HP Victus 16-r1706TX Gaming Laptop,66240,72.0,14th Gen Intel Core i5 14450HX,10 Cores (6P + 4E),16,16,512GB,6GB NVIDIA GeForce RTX 4050,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP OmniBook 5 Next Gen AI 14-he0014QU Laptop,66240,51.0,Qualcomm Snapdragon X X1-26-100,Octa Core</li,,16,512GB,Qualcomm Adreno GPU,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP 15-fc0389AU Laptop,66240,57.0,7th Gen AMD Ryzen 5 7530U,Hexa Core,12,16,512GB,AMD Radeon AMD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fb0185AX Gaming Laptop,66240,68.0,5th Gen AMD Ryzen 5 5600H,Hexa Core,12,8 ,512GB,4GB AMD Radeon RX 6500M,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fd0574TU Laptop,66240,55.0,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,16,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 255 G10 Laptop,66240,50.0,7th Gen AMD Ryzen 5 7520U,Quad Core,8,8 ,512GB,AMD Radeon Graphics,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP Victus 15-fb3009AX Gaming Laptop,66240,72.0,8th Gen AMD Ryzen 5 8645HS,Hexa Core,12,16,512GB,6GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP ‎15-fd0465TU Laptop,66240,53.0,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,8 ,512GB,‎Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
